02ad,138c,"PVR Mass Storage","HUMAX Co., Ltd."
03eb,2002,"Mass Storage Device","Atmel Corp."
03eb,2045,"LUFA Mass Storage Demo Application","Atmel Corp."
03eb,2061,"LUFA Combined Mass Storage and Keyboard Demo Application","Atmel Corp."
03eb,2068,"LUFA Virtual Serial/Mass Storage Demo","Atmel Corp."
03eb,6129,"AT91SAM Mass Storage Demo Application","Atmel Corp."
03f0,4002,"PhotoSmart 635/715/720/735/935/E337 (storage)","HP, Inc"
0402,5636,"USB 2.0 Storage Device","ALi Corp."
0402,5642,"Storage Device","ALi Corp."
041e,4133,"Mass Storage Device","Creative Technology, Ltd"
0421,0024,"5610 XpressMusic (Storage mode)","Nokia Mobile Phones"
0421,002d,"6120 Phone (Mass storage mode)","Nokia Mobile Phones"
0421,006c,"5310 Xpress music (Storage mode)","Nokia Mobile Phones"
0421,006d,"N95 (Storage mode)","Nokia Mobile Phones"
0421,00aa,"E71 (Mass storage mode)","Nokia Mobile Phones"
0421,010d,"E75 (Storage Mode)","Nokia Mobile Phones"
0421,0156,"5800 XpressMusic (Storage mode)","Nokia Mobile Phones"
0421,01b1,"6303 classic Phone (Mass storage mode)","Nokia Mobile Phones"
0421,01c7,"N900 (Storage Mode)","Nokia Mobile Phones"
0421,026a,"N97 (mass storage)","Nokia Mobile Phones"
0421,0295,"660i/6600i Slide Phone (Mass Storage)","Nokia Mobile Phones"
0421,02e1,"5230 (Storage mode)","Nokia Mobile Phones"
0421,03a4,"C5 (Storage mode)","Nokia Mobile Phones"
0421,03c0,"C7-00 (Mass storage mode)","Nokia Mobile Phones"
0421,03d1,"N950 (Storage Mode)","Nokia Mobile Phones"
0421,04bd,"5200 (Storage mode)","Nokia Mobile Phones"
0421,04cf,"E90 Communicator (Storage mode)","Nokia Mobile Phones"
0421,0509,"E65 (Storage mode)","Nokia Mobile Phones"
0421,0518,"N9 (Storage mode)","Nokia Mobile Phones"
0421,0662,"301 Dual SIM (Mass Storage)","Nokia Mobile Phones"
0430,a102,"remote key/mouse/storage for P3 chip","Fujitsu Component Limited"
0430,a103,"remote storage for P3 chip","Fujitsu Component Limited"
0430,a113,"remote storage for P4 chip","Fujitsu Component Limited"
045e,ffff,"Windows CE Mass Storage","Microsoft Corp."
0461,081a,"Fujifilm IX-30 Camera [storage mode]","Primax Electronics, Ltd"
